humandatabase,humanidentifier,humanensemblidentifier,viralinteractortaxid,viralinteractorproteindatabase,viralinteractorproteinxref,
INTACT,EBI-1033611,ENSG00000231475,1392,UNIPROT_AC,Q81TS3,
INTACT,EBI-10815456,ENSG00000108561,10376,UNIPROT_AC,Q5MJ03,"complement system receptor, also involved in mRNA splicing and who knows what"
INTACT,EBI-11522976,,559292,UNIPROT_AC,P36084,
INTACT,EBI-11523186,,559292,UNIPROT_AC,P11747,
INTACT,EBI-11523568,,559292,UNIPROT_AC,P32571,
INTACT,EBI-11523890,,559292,UNIPROT_AC,P20107,
INTACT,EBI-11524292,,559292,UNIPROT_AC,Q8TGM2,
INTACT,EBI-11525577,,559292,UNIPROT_AC,P32902,
INTACT,EBI-11528211,,559292,UNIPROT_AC,P38340,
INTACT,EBI-11528223,,559292,UNIPROT_AC,P38340,
INTACT,EBI-11531492,,559292,UNIPROT_AC,P40554,
INTACT,EBI-11533440,,559292,UNIPROT_AC,P53296,
INTACT,EBI-1267003,,421877,UNIPROT_AC,Q03463,
INTACT,EBI-2548851,,211044,UNIPROT_AC,P03485,
INTACT,EBI-2622317,,10377,UNIPROT_AC,P0CK56,
INTACT,EBI-2623792,,10376,UNIPROT_AC,Q3KSU1,
INTACT,EBI-2797152,,177416,UNIPROT_AC,Q5NII1,
INTACT,EBI-2797675,,177416,UNIPROT_AC,Q5NGF9,
INTACT,EBI-2802717,,177416,UNIPROT_AC,Q5NGF1,
INTACT,EBI-2803193,,177416,UNIPROT_AC,Q5NGR3,
INTACT,EBI-2803545,ENSG00000268883,177416,UNIPROT_AC,Q5NF78,Pseudogene
INTACT,EBI-2805038,,632,UNIPROT_AC,Q8D0F7,
INTACT,EBI-2807508,,177416,UNIPROT_AC,Q5NGZ7,
INTACT,EBI-2809427,,177416,UNIPROT_AC,Q5NID2,
INTACT,EBI-2817677,,632,UNIPROT_AC,Q7CHB4,
INTACT,EBI-2826141,,1392,UNIPROT_AC,Q81VA8,
INTACT,EBI-2826358,,1392,UNIPROT_AC,Q81T17,
INTACT,EBI-2857196,,632,UNIPROT_AC,Q7CG91,
INTACT,EBI-2859077,,632,UNIPROT_AC,Q7CGN6,
INTACT,EBI-2859573,,632,UNIPROT_AC,Q7CH24,
INTACT,EBI-2859998,,632,UNIPROT_AC,Q7CIK2,
INTACT,EBI-2870137,,632,UNIPROT_AC,Q7ARA5,
INTACT,EBI-2872104,ENSG00000215559,632,UNIPROT_AC,Q7ARG4,Pseudogene
INTACT,EBI-4399559,,10298,UNIPROT_AC,Q9J0X9,
INTACT,EBI-6269288,,132487,UNIPROT_AC,B8PZP3,
INTACT,EBI-7555615,,37296,UNIPROT_AC,Q9WNA9,
INTACT,EBI-7794107,ENSG00000107829,10407,UNIPROT_AC,Q8V1H6,Fbox WD40 gene
INTACT,EBI-8853818,,301447,UNIPROT_AC,Q99XU0,
INTACT,EBI-9028477,,333284,UNIPROT_AC,Q9WMX2-PRO_0000037541,
INTACT,EBI-987754,,1280,UNIPROT_AC,Q9ZFS5,
