"","TFBS","pValue","sampleEstimate","lowerConfidenceInterval","upperConfidenceInterval","wholeGenomeCount","positiveSetCount","qValue","score","positiveSetAverage"
"1","IRF",6.2314693372771e-86,2.2124056173013,2.058661670762,2.37447097163786,88837,809,3.620483684958e-83,1.14561591017608,9.74698795180723
"2","NFKB",4.73546232994111e-24,1.88977063290064,1.68412986363022,2.11372739550905,39744,314,1.37565180684789e-21,0.918211140870928,3.78313253012048
"3","NFY",2.93388682425932e-21,2.36191884450238,2.0062786710495,2.76339272073389,16054,159,5.68196081631554e-19,1.23995939460577,1.91566265060241
"4","IRF4",2.33725447048174e-10,4.43316658650701,2.93460426030374,6.43518897816362,1501,28,3.39486211837472e-08,2.14833757613096,0.337349397590361
"5","RAD21",5.68491660829784e-08,0.593628437793546,0.479348107782112,0.727066047519423,37461,94,6.60587309884209e-06,-0.752367888910781,1.13253012048193
"6","PRDM1",9.56342251672453e-08,1.76266165472941,1.44132790975345,2.13481246288964,14308,106,9.26058080369492e-06,0.817755573983389,1.27710843373494
"7","HOXD13",2.93227338272303e-06,1.80811572746906,1.42286784574016,2.26656267840122,9994,76,0.000243378690766011,0.854487019623966,0.91566265060241
"8","TFAP2",5.52837140522191e-06,0.782925001919055,0.700154046158332,0.872878962526033,100176,332,0.000401497973304241,-0.353053979633645,4
"9","REL",2.22773181391851e-05,2.15244923392424,1.52049125599829,2.96023342275469,4195,38,0.00143812464876295,1.10597921168511,0.457831325301205
"10","MYC",4.55676117952564e-05,0.713919669658206,0.598071932208195,0.845789383706282,44759,135,0.0026474782453044,-0.486166343750069,1.62650602409639
"11","LMX1B",0.000190132169752999,0.38922010735348,0.200983982951775,0.680463239247664,7311,12,0.0100424355114993,-1.36134185231759,0.144578313253012
"12","HOXB13",0.000269793545376642,1.82744795359339,1.32053214695512,2.46566210274467,5591,43,0.0130625041553191,0.869830318264193,0.518072289156627
"13","LMX1A",0.000303263622992019,0.33054251483012,0.142612686604599,0.651897808067298,5740,8,0.0135535511506433,-1.59709224981142,0.0963855421686747
"14","ZSCAN16",0.000340815273460501,2.78164123839217,1.58510114789456,4.53556176855671,1366,16,0.0141438338486108,1.47593636058157,0.192771084337349
"15","STAT",0.000479459520143077,1.2327495900829,1.09563324065525,1.38240464317813,57740,299,0.0185710654135418,0.301879773110407,3.60240963855422
"16","FOXD2",0.000928665005038637,0.354403055549552,0.152912966035845,0.698956483462445,5354,8,0.0337221479954655,-1.49653705248658,0.0963855421686747
"17","HOXA13",0.00108588309014745,1.65306027921293,1.21721542123992,2.1950657956511,6899,48,0.0371116514926863,0.725139333786882,0.578313253012048
"18","PLAGL1",0.00151659183732533,0.320405298639025,0.117505206606168,0.698065526176772,4442,6,0.0463757819729484,-1.6420300886606,0.072289156626506
"19","HEY1",0.0016698108791145,0.695300338687487,0.542596859543138,0.877786582647909,24199,71,0.0485080060382763,-0.52429180260655,0.855421686746988
"20","EWSR1::FLI1",0.00221456938867137,1.3717473619058,1.1196165031601,1.66405526290714,18022,104,0.0559419484703508,0.456014801272277,1.25301204819277
"21","ZNF281",0.00211491636741372,1.31574396057972,1.10196128449945,1.55912996603962,24395,135,0.0559419484703508,0.395878772705137,1.62650602409639
"22","SOX14",0.00256913340489578,0.52326473728955,0.314837884268721,0.81787522136768,8611,19,0.0621944378435186,-0.934387055601518,0.228915662650602
"23","DMRT2",0.0042584866745547,1.89559808076656,1.21229875726961,2.82686317891816,3007,24,0.0989672303166513,0.922653105400534,0.289156626506024
